% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
512	1	1	3	0	28	549	0	1	0
512	1	2	1	0	14	193	0	1	0
512	1	3	2	0	12	149	0	1	0
512	1	4	4	0	8	101	0	1	0
513	1	1	3	0	28	549	0	1	0
513	1	2	1	0	14	193	0	1	0
513	1	3	2	0	12	149	0	1	0
513	1	4	4	0	8	101	0	1	0
514	1	1	3	0	28	549	0	1	0
514	1	2	1	0	14	193	0	1	0
514	1	3	2	0	12	149	0	1	0
514	1	4	4	0	8	101	0	1	0
515	1	1	3	0	28	549	0	1	0
515	1	2	1	0	14	193	0	1	0
515	1	3	2	0	12	149	0	1	0
515	1	4	4	0	8	101	0	1	0
516	1	1	3	0	28	549	0	1	0
516	1	2	1	0	14	193	0	1	0
516	1	3	2	0	12	149	0	1	0
516	1	4	4	0	8	101	0	1	0
517	1	1	3	0	28	549	0	1	0
517	1	2	1	0	14	193	0	1	0
517	1	3	2	0	12	149	0	1	0
517	1	4	4	0	8	101	0	1	0
518	1	1	3	0	28	549	0	1	0
518	1	2	1	0	14	193	0	1	0
518	1	3	2	0	12	149	0	1	0
518	1	4	4	0	8	101	0	1	0
519	1	1	3	0	28	549	0	1	0
519	1	2	1	0	14	193	0	1	0
519	1	3	2	0	12	149	0	1	0
519	1	4	4	0	8	101	0	1	0
520	1	1	3	0	28	549	0	1	0
520	1	2	1	0	14	193	0	1	0
520	1	3	2	0	12	149	0	1	0
520	1	4	4	0	8	101	0	1	0
521	1	1	3	0	28	549	0	1	0
521	1	2	1	0	14	193	0	1	0
521	1	3	2	0	12	149	0	1	0
521	1	4	4	0	8	101	0	1	0
522	1	2	1	0	14	253	0	1	0
522	1	3	2	0	12	201	0	1	0
522	1	4	4	0	8	137	0	1	0
523	1	2	1	0	14	253	0	1	0
523	1	3	2	0	12	201	0	1	0
523	1	4	4	0	8	137	0	1	0
524	1	2	1	0	14	253	0	1	0
524	1	3	2	0	12	201	0	1	0
524	1	4	4	0	8	137	0	1	0
525	1	2	1	0	14	253	0	1	0
525	1	3	2	0	12	201	0	1	0
525	1	4	4	0	8	137	0	1	0
526	1	2	1	0	14	253	0	1	0
526	1	3	2	0	12	201	0	1	0
526	1	4	4	0	8	137	0	1	0
527	1	2	1	0	14	253	0	1	0
527	1	3	2	0	12	201	0	1	0
527	1	4	4	0	8	137	0	1	0
528	1	2	1	0	14	253	0	1	0
528	1	3	2	0	12	201	0	1	0
528	1	4	4	0	8	137	0	1	0
529	1	2	1	0	14	253	0	1	0
529	1	3	2	0	12	201	0	1	0
529	1	4	4	0	8	137	0	1	0
530	1	1	3	0	28	549	0	1	0
530	1	2	1	0	14	193	0	1	0
530	1	3	2	0	12	149	0	1	0
530	1	4	4	0	8	101	0	1	0
531	1	1	3	0	28	549	0	1	0
531	1	2	1	0	14	193	0	1	0
531	1	3	2	0	12	149	0	1	0
531	1	4	4	0	8	101	0	1	0
532	1	1	3	0	28	549	0	1	0
532	1	2	1	0	14	193	0	1	0
532	1	3	2	0	12	149	0	1	0
