% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.00621428	1	13	0	1.05675e-15	2.22801	0
0.00621428	1	14	0	1.05675e-15	2.22801	0
0.00621428	1	15	0	1.05675e-15	2.22801	0
0.00721428	1	1	0	1.05675e-15	2.22801	0
0.00721428	1	2	0	1.05675e-15	2.22801	0
0.00721428	1	3	0	1.05675e-15	2.22801	0
0.00721428	1	4	0	1.05675e-15	2.22801	0
0.00721428	1	5	0	1.05675e-15	2.22801	0
0.00721428	1	6	0	1.05675e-15	2.22801	0
0.00721428	1	7	0	1.05675e-15	2.22801	0
0.00721428	1	8	0	1.05675e-15	2.22801	0
0.00721428	1	9	0	1.05675e-15	2.22801	0
0.00721428	1	10	0	1.05675e-15	2.22801	0
0.00721428	1	11	0	1.05675e-15	2.22801	0
0.00721428	1	12	0	1.05675e-15	2.22801	0
0.00721428	1	13	0	1.05675e-15	2.22801	0
0.00721428	1	14	0	1.05675e-15	2.22801	0
0.00721428	1	15	0	1.05675e-15	2.22801	0
0.00821428	1	1	0	1.05675e-15	2.22801	0
0.00821428	1	2	0	1.05675e-15	2.22801	0
0.00821428	1	3	0	1.05675e-15	2.22801	0
0.00821428	1	4	0	1.05675e-15	2.22801	0
0.00821428	1	5	0	1.05675e-15	2.22801	0
0.00821428	1	6	0	1.05675e-15	2.22801	0
0.00821428	1	7	0	1.05675e-15	2.22801	0
0.00821428	1	8	0	1.05675e-15	2.22801	0
0.00821428	1	9	0	1.05675e-15	2.22801	0
0.00821428	1	10	0	1.05675e-15	2.22801	0
0.00821428	1	11	0	1.05675e-15	2.22801	0
0.00821428	1	12	0	1.05675e-15	2.22801	0
0.00821428	1	13	0	1.05675e-15	2.22801	0
0.00821428	1	14	0	1.05675e-15	2.22801	0
0.00821428	1	15	0	1.05675e-15	2.22801	0
0.00921428	1	1	0	1.05675e-15	2.22801	0
0.00921428	1	2	0	1.05675e-15	2.22801	0
0.00921428	1	3	0	1.05675e-15	2.22801	0
0.00921428	1	4	0	1.05675e-15	2.22801	0
0.00921428	1	5	0	1.05675e-15	2.22801	0
0.00921428	1	6	0	1.05675e-15	2.22801	0
0.00921428	1	7	0	1.05675e-15	2.22801	0
0.00921428	1	8	0	1.05675e-15	2.22801	0
0.00921428	1	9	0	1.05675e-15	2.22801	0
0.00921428	1	10	0	1.05675e-15	2.22801	0
0.00921428	1	11	0	1.05675e-15	2.22801	0
0.00921428	1	12	0	1.05675e-15	2.22801	0
0.00921428	1	13	0	1.05675e-15	2.22801	0
0.00921428	1	14	0	1.05675e-15	2.22801	0
0.00921428	1	15	0	1.05675e-15	2.22801	0
0.0102143	1	1	0	1.05675e-15	2.22801	0
0.0102143	1	2	0	1.05675e-15	2.22801	0
0.0102143	1	3	0	1.05675e-15	2.22801	0
0.0102143	1	4	0	1.05675e-15	2.22801	0
0.0102143	1	5	0	1.05675e-15	2.22801	0
0.0102143	1	6	0	1.05675e-15	2.22801	0
0.0102143	1	7	0	1.05675e-15	2.22801	0
0.0102143	1	8	0	1.05675e-15	2.22801	0
0.0102143	1	9	0	1.05675e-15	2.22801	0
0.0102143	1	10	0	1.05675e-15	2.22801	0
0.0102143	1	11	0	1.05675e-15	2.22801	0
0.0102143	1	12	0	1.05675e-15	2.22801	0
0.0102143	1	13	0	1.05675e-15	2.22801	0
0.0102143	1	14	0	1.05675e-15	2.22801	0
0.0102143	1	15	0	1.05675e-15	2.22801	0
0.0112143	1	1	0	1.05675e-15	2.22801	0
0.0112143	1	2	0	1.05675e-15	2.22801	0
0.0112143	1	3	0	1.05675e-15	2.22801	0
0.0112143	1	4	0	1.05675e-15	2.22801	0
0.0112143	1	5	0	1.05675e-15	2.22801	0
0.0112143	1	6	0	1.05675e-15	2.22801	0
0.0112143	1	7	0	1.05675e-15	2.22801	0
0.0112143	1	8	0	1.05675e-15	2.22801	0
0.0112143	1	9	0	1.05675e-15	2.22801	0
0.0112143	1	10	0	1.05675e-15	2.22801	0
0.0112143	1	11	0	1.05675e-15	2.22801	0
0.0112143	1	12	0	1.05675e-15	2.22801	0
0.0112143	1	13	0	1.05675e-15	2.22801	0
0.0112143	1	14	0	1.05675e-15	2.22801	0
0.0112143	1	15	0	1.05675e-15	2.22801	0
0.0122143	1	1	0	1.05675e-15	2.22801	0
0.0122143	1	2	0	1.05675e-15	2.22801	0
