% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
656	1	2	1	0	22	1383	0	1	0
657	1	1	3	0	28	2196	0	1	0
658	1	3	2	0	20	1191	0	1	0
659	1	4	4	0	14	775	0	1	0
660	1	2	1	0	22	1383	0	1	0
661	1	1	3	0	28	2196	0	1	0
662	1	3	2	0	20	1191	0	1	0
663	1	1	3	0	28	2196	0	1	0
664	1	2	1	0	22	1383	0	1	0
665	1	4	4	0	14	775	0	1	0
666	1	3	2	0	20	1191	0	1	0
667	1	1	3	0	28	2196	0	1	0
668	1	2	1	0	22	1383	0	1	0
669	1	4	4	0	14	775	0	1	0
670	1	3	2	0	20	1191	0	1	0
671	1	1	3	0	28	2196	0	1	0
672	1	2	1	0	22	1383	0	1	0
673	1	4	4	0	14	775	0	1	0
674	1	3	2	0	20	1191	0	1	0
675	1	1	3	0	28	2196	0	1	0
676	1	2	1	0	22	1383	0	1	0
677	1	4	4	0	14	775	0	1	0
678	1	3	2	0	20	1191	0	1	0
679	1	1	3	0	28	2196	0	1	0
680	1	2	1	0	22	1383	0	1	0
681	1	4	4	0	14	775	0	1	0
682	1	3	2	0	20	1191	0	1	0
683	1	1	3	0	28	2196	0	1	0
684	1	2	1	0	22	1383	0	1	0
685	1	4	4	0	14	775	0	1	0
686	1	3	2	0	20	1191	0	1	0
687	1	1	3	0	28	2196	0	1	0
688	1	2	1	0	22	1383	0	1	0
689	1	4	4	0	14	775	0	1	0
690	1	3	2	0	20	1191	0	1	0
691	1	1	3	0	28	2196	0	1	0
692	1	2	1	0	22	1383	0	1	0
693	1	4	4	0	14	775	0	1	0
694	1	3	2	0	20	1191	0	1	0
695	1	1	3	0	28	2196	0	1	0
696	1	2	1	0	22	1383	0	1	0
697	1	4	4	0	14	775	0	1	0
698	1	3	2	0	20	1191	0	1	0
699	1	1	3	0	28	2196	0	1	0
700	1	2	1	0	22	1383	0	1	0
701	1	4	4	0	14	775	0	1	0
702	1	3	2	0	20	1191	0	1	0
703	1	1	3	0	28	2196	0	1	0
704	1	2	1	0	22	1383	0	1	0
705	1	4	4	0	14	775	0	1	0
706	1	3	2	0	20	1191	0	1	0
707	1	1	3	0	28	2196	0	1	0
708	1	2	1	0	22	1383	0	1	0
709	1	4	4	0	14	775	0	1	0
710	1	3	2	0	20	1191	0	1	0
711	1	1	3	0	28	2196	0	1	0
712	1	2	1	0	22	1383	0	1	0
713	1	4	4	0	14	775	0	1	0
714	1	3	2	0	20	1191	0	1	0
715	1	1	3	0	28	2196	0	1	0
716	1	2	1	0	22	1383	0	1	0
717	1	1	3	0	28	2196	0	1	0
718	1	4	4	0	14	775	0	1	0
719	1	3	2	0	20	1191	0	1	0
720	1	2	1	0	22	1383	0	1	0
721	1	1	3	0	28	2196	0	1	0
722	1	4	4	0	14	775	0	1	0
723	1	3	2	0	20	1191	0	1	0
724	1	2	1	0	22	1383	0	1	0
725	1	1	3	0	28	2196	0	1	0
726	1	4	4	0	14	775	0	1	0
727	1	3	2	0	20	1191	0	1	0
728	1	2	1	0	22	1383	0	1	0
729	1	1	3	0	28	2196	0	1	0
730	1	3	2	0	20	1191	0	1	0
731	1	4	4	0	14	775	0	1	0
732	1	2	1	0	22	1383	0	1	0
733	1	1	3	0	28	2196	0	1	0
734	1	3	2	0	20	1191	0	1	0
735	1	4	4	0	14	775	0	1	0
736	1	2	1	0	22	1383	0	1	0
737	1	1	3	0	28	2196	0	1	0
738	1	3	2	0	20	1191	0	1	0
739	1	4	4	0	14	775	0	1	0
740	1	2	1	0	22	1383	0	1	0
741	1	1	3	0	28	2196	0	1	0
742	1	3	2	0	20	1191	0	1	0
743	1	4	4	0	14	775	0	1	0
744	1	2	1	0	22	1383	0	1	0
745	1	1	3	0	28	2196	0	1	0
746	1	3	2	0	20	1191	0	1	0
747	1	4	4	0	14	775	0	1	0
748	1	2	1	0	22	1383	0	1	0
749	1	1	3	0	28	2196	0	1	0
750	1	3	2	0	20	1191	0	1	0
751	1	4	4	0	14	775	0	1	0
752	1	2	1	0	22	1383	0	1	0
753	1	1	3	0	28	2196	0	1	0
754	1	3	2	0	20	1191	0	1	0
755	1	4	4	0	14	775	0	1	0
756	1	2	1	0	22	1383	0	1	0
757	1	1	3	0	28	2196	0	1	0
758	1	3	2	0	20	1191	0	1	0
759	1	4	4	0	14	775	0	1	0
760	1	2	1	0	22	1383	0	1	0
761	1	1	3	0	28	2196	0	1	0
762	1	3	2	0	20	1191	0	1	0
763	1	4	4	0	14	775	0	1	0
764	1	2	1	0	22	1383	0	1	0
765	1	1	3	0	28	2196	0	1	0
766	1	3	2	0	20	1191	0	1	0
767	1	4	4	0	14	775	0	1	0
768	1	2	1	0	22	1383	0	1	0
769	1	1	3	0	28	2196	0	1	0
770	1	3	2	0	20	1191	0	1	0
771	1	4	4	0	14	775	0	1	0
772	1	2	1	0	22	1383	0	1	0
773	1	1	3	0	28	2196	0	1	0
774	1	3	2	0	20	1191	0	1	0
775	1	4	4	0	14	775	0	1	0
776	1	2	1	0	22	1383	0	1	0
777	1	1	3	0	28	2196	0	1	0
778	1	3	2	0	20	1191	0	1	0
779	1	2	1	0	22	1383	0	1	0
780	1	1	3	0	28	2196	0	1	0
781	1	4	4	0	14	775	0	1	0
782	1	3	2	0	20	1191	0	1	0
783	1	2	1	0	22	1383	0	1	0
784	1	1	3	0	28	2196	0	1	0
785	1	4	4	0	14	775	0	1	0
786	1	3	2	0	20	1191	0	1	0
787	1	2	1	0	22	1383	0	1	0
788	1	1	3	0	28	2196	0	1	0
789	1	4	4	0	14	775	0	1	0
790	1	3	2	0	20	1191	0	1	0
791	1	1	3	0	28	2196	0	1	0
792	1	2	1	0	22	1383	0	1	0
793	1	4	4	0	14	775	0	1	0
794	1	3	2	0	20	1191	0	1	0
795	1	1	3	0	28	2196	0	1	0
796	1	2	1	0	22	1383	0	1	0
797	1	4	4	0	14	775	0	1	0
798	1	3	2	0	20	1191	0	1	0
799	1	1	3	0	28	2196	0	1	0
800	1	2	1	0	22	1383	0	1	0
801	1	4	4	0	14	775	0	1	0
802	1	3	2	0	20	1191	0	1	0
803	1	1	3	0	28	2196	0	1	0
804	1	2	1	0	22	1383	0	1	0
805	1	4	4	0	14	775	0	1	0
806	1	3	2	0	20	1191	0	1	0
807	1	1	3	0	28	2196	0	1	0
808	1	2	1	0	22	1383	0	1	0
809	1	4	4	0	14	775	0	1	0
810	1	3	2	0	20	1191	0	1	0
811	1	1	3	0	28	2196	0	1	0
812	1	2	1	0	22	1383	0	1	0
813	1	4	4	0	14	775	0	1	0
814	1	3	2	0	20	1191	0	1	0
815	1	1	3	0	28	2196	0	1	0
816	1	2	1	0	22	1383	0	1	0
817	1	4	4	0	14	775	0	1	0
818	1	3	2	0	20	1191	0	1	0
819	1	1	3	0	28	2196	0	1	0
820	1	2	1	0	22	1383	0	1	0
821	1	4	4	0	14	775	0	1	0
822	1	3	2	0	20	1191	0	1	0
823	1	1	3	0	28	2196	0	1	0
824	1	2	1	0	22	1383	0	1	0
825	1	4	4	0	14	775	0	1	0
826	1	3	2	0	20	1191	0	1	0
827	1	1	3	0	28	2196	0	1	0
828	1	2	1	0	22	1383	0	1	0
829	1	4	4	0	14	775	0	1	0
830	1	3	2	0	20	1191	0	1	0
831	1	1	3	0	28	2196	0	1	0
832	1	2	1	0	22	1383	0	1	0
833	1	4	4	0	14	775	0	1	0
834	1	3	2	0	20	1191	0	1	0
835	1	1	3	0	28	2196	0	1	0
836	1	2	1	0	22	1383	0	1	0
837	1	4	4	0	14	775	0	1	0
838	1	3	2	0	20	1191	0	1	0
839	1	1	3	0	28	2196	0	1	0
840	1	2	1	0	22	1383	0	1	0
841	1	1	3	0	28	2196	0	1	0
842	1	4	4	0	14	775	0	1	0
843	1	3	2	0	20	1191	0	1	0
844	1	2	1	0	22	1383	0	1	0
845	1	1	3	0	28	2196	0	1	0
846	1	4	4	0	14	775	0	1	0
847	1	3	2	0	20	1191	0	1	0
848	1	2	1	0	22	1383	0	1	0
849	1	1	3	0	28	2196	0	1	0
850	1	3	2	0	20	1191	0	1	0
851	1	4	4	0	14	775	0	1	0
852	1	2	1	0	22	1383	0	1	0
853	1	1	3	0	28	2196	0	1	0
854	1	3	2	0	20	1191	0	1	0
855	1	4	4	0	14	775	0	1	0
856	1	2	1	0	22	1383	0	1	0
857	1	1	3	0	28	2196	0	1	0
858	1	3	2	0	20	1191	0	1	0
859	1	4	4	0	14	775	0	1	0
860	1	2	1	0	22	1383	0	1	0
861	1	1	3	0	28	2196	0	1	0
862	1	3	2	0	20	1191	0	1	0
863	1	4	4	0	14	775	0	1	0
864	1	2	1	0	22	1383	0	1	0
865	1	1	3	0	28	2196	0	1	0
866	1	3	2	0	20	1191	0	1	0
867	1	4	4	0	14	775	0	1	0
868	1	2	1	0	22	1383	0	1	0
869	1	1	3	0	28	2196	0	1	0
870	1	3	2	0	20	1191	0	1	0
871	1	4	4	0	14	775	0	1	0
872	1	2	1	0	22	1383	0	1	0
873	1	1	3	0	28	2196	0	1	0
874	1	3	2	0	20	1191	0	1	0
875	1	4	4	0	14	775	0	1	0
876	1	2	1	0	22	1383	0	1	0
877	1	1	3	0	28	2196	0	1	0
878	1	3	2	0	20	1191	0	1	0
879	1	4	4	0	14	775	0	1	0
880	1	2	1	0	22	1383	0	1	0
881	1	1	3	0	28	2196	0	1	0
882	1	3	2	0	20	1191	0	1	0
883	1	4	4	0	14	775	0	1	0
884	1	2	1	0	22	1383	0	1	0
885	1	1	3	0	28	2196	0	1	0
886	1	3	2	0	20	1191	0	1	0
887	1	4	4	0	14	775	0	1	0
